frame,camera_id,location,cars,bikes,buses,trucks,total_vehicles,queue_count,red_light_violations,rash_driving,timestamp
336,CAM-01,Primary Junction,3,5,0,0,8,3,0,9,2026-02-13T01:08:43
340,CAM-01,Primary Junction,2,3,0,0,5,2,0,9,2026-02-13T01:08:43
344,CAM-01,Primary Junction,2,1,0,0,3,2,0,9,2026-02-13T01:08:44
348,CAM-01,Primary Junction,2,3,0,0,5,2,0,9,2026-02-13T01:08:44
352,CAM-01,Primary Junction,3,4,0,0,7,3,0,9,2026-02-13T01:08:44
356,CAM-01,Primary Junction,2,5,0,0,7,2,0,9,2026-02-13T01:08:44
360,CAM-01,Primary Junction,4,4,0,0,8,4,0,9,2026-02-13T01:08:44
364,CAM-01,Primary Junction,3,5,0,0,8,3,0,9,2026-02-13T01:08:44
368,CAM-01,Primary Junction,3,3,0,0,6,3,0,9,2026-02-13T01:08:44
372,CAM-01,Primary Junction,3,5,0,0,8,3,0,9,2026-02-13T01:08:44
376,CAM-01,Primary Junction,3,5,0,0,8,3,0,9,2026-02-13T01:08:44
380,CAM-01,Primary Junction,2,6,0,0,8,2,0,9,2026-02-13T01:08:45
384,CAM-01,Primary Junction,3,6,0,0,9,3,0,9,2026-02-13T01:08:45
388,CAM-01,Primary Junction,1,5,0,0,6,1,0,9,2026-02-13T01:08:45
392,CAM-01,Primary Junction,1,5,0,0,6,1,0,9,2026-02-13T01:08:45
396,CAM-01,Primary Junction,1,5,0,0,6,1,0,9,2026-02-13T01:08:45
400,CAM-01,Primary Junction,1,6,0,0,7,1,0,9,2026-02-13T01:08:45
404,CAM-01,Primary Junction,1,6,0,0,7,1,0,9,2026-02-13T01:08:45
408,CAM-01,Primary Junction,1,6,0,0,7,1,0,9,2026-02-13T01:08:45
412,CAM-01,Primary Junction,1,4,0,0,5,1,0,9,2026-02-13T01:08:46
416,CAM-01,Primary Junction,1,7,0,0,8,1,0,10,2026-02-13T01:08:46
420,CAM-01,Primary Junction,1,6,0,0,7,1,0,10,2026-02-13T01:08:46
